							Percentage Noise						
ClusterId	Genome One	Genome Two	0	10	20	30	40	50	60	70	80	90	100
316	pyro	spyo	0.235613666	0.328886024	0.437677082	0.56198684	0.701815298	0.857162455	1.028028312	1.214412868	1.416316124	1.63373808	1.866678736
316	pyro	bhal	0.210704353	0.299330213	0.403474773	0.523138032	0.658319992	0.80902065	0.975240009	1.156978067	1.354234825	1.567010283	1.79530444
316	pyro	spneu	0.238160413	0.331893684	0.441145655	0.565916325	0.706205696	0.862013765	1.033340535	1.220186004	1.422550173	1.640433042	1.87383461
316	pyro	mtub_cdc	0.360010066	0.473472892	0.602454418	0.746954643	0.906973568	1.082511193	1.273567518	1.480142542	1.702236266	1.939848689	2.192979813
316	pyro	sent	0.235641125	0.328918466	0.437714507	0.562029248	0.701862688	0.857214828	1.028085668	1.214475207	1.416383446	1.633810385	1.866756023
316	pyro	styp	0.234187992	0.327201243	0.435733193	0.559783844	0.699353193	0.854441243	1.025047992	1.211173441	1.412817589	1.629980437	1.862661985
316	pyro	paer	0.24206882	0.336504672	0.446459223	0.571932474	0.712924425	0.869435075	1.041464425	1.229012474	1.432079224	1.650664673	1.884768821
316	pyro	nmenA	0.273149187	0.372981455	0.488332422	0.619202088	0.765590455	0.927497521	1.104923286	1.297867752	1.506330917	1.730312781	1.969813346
316	pyro	uure	0.487815154	0.618618263	0.764940072	0.926780581	1.104139789	1.297017697	1.505414305	1.729329612	1.968763619	2.223716326	2.494187733
316	pyro	hinf	0.239916645	0.333966327	0.443534708	0.568621789	0.709227569	0.865352049	1.036995229	1.224157109	1.426837688	1.645036967	1.878754945
316	pyro	vcho	0.237016125	0.330542608	0.439587791	0.564151674	0.704234256	0.859835538	1.03095552	1.217594201	1.419751582	1.637427663	1.870622443
316	pyro	pmul	0.235421496	0.328658975	0.437415153	0.561690031	0.701483609	0.856795886	1.027626863	1.213976539	1.415844916	1.633231992	1.866137767
316	pyro	rsol	0.269921434	0.36920808	0.484013426	0.614337472	0.760180217	0.921541662	1.098421807	1.290820651	1.498738195	1.722174439	1.961129383
316	pyro	aero	0.4075954	0.318985619	0.245894538	0.188322157	0.146268475	0.119733493	0.10871721	0.113219627	0.133240744	0.168780561	0.219839077
316	pyro	bbur	0.365478301	0.479740873	0.609522144	0.754822116	0.915640787	1.091978157	1.283834228	1.491208998	1.714102467	1.952514637	2.206445506
316	pyro	hbsp	0.005656225	0.026664946	0.063192367	0.115238488	0.182803308	0.265886828	0.364489048	0.478609968	0.608249587	0.753407905	0.914084924
316	pyro	mlep	0.3845645	0.501572617	0.634099433	0.782144949	0.945709165	1.124792081	1.319393696	1.529514011	1.755153025	1.996310739	2.252987153
316	pyro	cpneuC	0.396512935	0.515205252	0.649416268	0.799145984	0.9643944	1.145161516	1.341447331	1.553251845	1.78057506	2.023416974	2.281777588
316	pyro	ctraM	0.401479683	0.520864615	0.655768246	0.806190577	0.972131607	1.153591337	1.350569767	1.563066897	1.791082726	2.034617255	2.293670483
316	pyro	aful	0.004348714	0.000490572	0.01215113	0.039330388	0.082028345	0.140245002	0.213980359	0.303234415	0.408007171	0.528298627	0.664108783
316	pyro	ypes	0.233681825	0.326602893	0.435042661	0.559001129	0.698478296	0.853474163	1.023988729	1.210021996	1.411573962	1.628644627	1.861233993
316	pyro	stok	0.415800625	0.326370322	0.252458718	0.194065814	0.15119161	0.123836105	0.1119993	0.115681195	0.134881789	0.169601083	0.219839077
316	pyro	nmen	0.272897944	0.372687857	0.48799647	0.618823783	0.765169795	0.927034507	1.104417918	1.29732003	1.505740841	1.729680351	1.969138561
316	pyro	cper	0.237856839	0.331535299	0.440732459	0.565448318	0.705682877	0.861436136	1.032708094	1.219498752	1.421808109	1.639636167	1.872982924
316	pyro	tmar	0.289636605	0.392206943	0.510295981	0.643903718	0.793030155	0.957675291	1.137839128	1.333521664	1.544722899	1.771442834	2.013681469
316	pyro	nost	0.297158823	0.400952448	0.520264773	0.655095798	0.805445522	0.971313946	1.152701069	1.349606892	1.562031415	1.789974638	2.03343656
316	pyro	llact	0.25475522	0.35143335	0.463630179	0.591345708	0.734579937	0.893332865	1.067604493	1.25739482	1.462703848	1.683531575	1.919878001
316	pyro	lmon	0.225362125	0.316753461	0.423663497	0.546092233	0.684039668	0.837505803	1.006490638	1.190994173	1.391016407	1.60655734	1.837616974
316	pyro	rcon	0.309479914	0.415244252	0.53652729	0.673329028	0.825649465	0.993488602	1.176846439	1.375722975	1.590118211	1.820032147	2.065464783
316	pyro	xfas	0.294221205	0.397538969	0.516375433	0.650730596	0.800604459	0.965997021	1.146908284	1.343338246	1.555286907	1.782754268	2.025740329
316	pyro	ecoliO157	0.234105874	0.327104176	0.435621178	0.55965688	0.699211281	0.854284382	1.024876183	1.210986683	1.412615883	1.629763782	1.862430382
316	pyro	tpal	0.34130322	0.45198313	0.57818174	0.719899049	0.877135058	1.049889767	1.238163175	1.441955283	1.661266091	1.896095598	2.146443805
316	pyro	bsub	0.218658845	0.308796997	0.414453849	0.5356294	0.672323652	0.824536602	0.992268253	1.175518603	1.374287653	1.588575402	1.818381851
316	pyro	cjej	0.211484065	0.30025941	0.404553455	0.5243662	0.659697644	0.810547788	0.976916632	1.158804176	1.356210419	1.569135361	1.797579004
316	pyro	pyro	0	0.00775935	0.031037399	0.069834148	0.124149597	0.193983746	0.279336594	0.380208142	0.496598389	0.628507336	0.775934983
316	pyro	mpul	0.560655783	0.700325856	0.855514629	1.026222102	1.212448274	1.414193146	1.631456717	1.864238988	2.112539959	2.37635963	2.655698
316	pyro	saur_mu50	0.226760717	0.318411161	0.425580305	0.548268148	0.686474691	0.840199934	1.009443876	1.194206518	1.39448786	1.610287901	1.841606643
316	pyro	dra	0.348295272	0.46002407	0.587271568	0.730037765	0.888322662	1.062126258	1.251448554	1.45628955	1.676649246	1.912527641	2.163924736
316	pyro	paero	0.012934753	0.000658103	0.003900153	0.022660902	0.056940352	0.1067385	0.172055349	0.252890897	0.349245145	0.461118093	0.58850974
316	pyro	hpyl99	0.237691335	0.331339898	0.440507161	0.565193123	0.705397785	0.861121146	1.032363208	1.219123969	1.421403429	1.639201589	1.872518449
